date,time_period,Total Rides,Average Ride Time
2023-03-01,afternoon,28786,11.231466685194192
2023-03-01,evening,18858,11.119736981652348
2023-03-01,morning,25046,9.794338417312145
2023-03-01,overnight,1944,9.192901234567902
2023-03-02,afternoon,32658,11.344111703104906
2023-03-02,evening,21590,10.807920333487726
2023-03-02,morning,22320,9.684856630824372
2023-03-02,overnight,2024,10.75296442687747
2023-03-03,afternoon,30838,10.896815617095791
2023-03-03,evening,12922,10.862946912242688
2023-03-03,morning,23153,10.025698613570595
2023-03-03,overnight,2407,10.972579975072705
2023-03-04,afternoon,30730,13.030589000976244
2023-03-04,evening,15671,12.23406291876715
2023-03-04,morning,13314,10.530569325522007
2023-03-04,overnight,770,8.903896103896104
2023-03-05,afternoon,36288,14.424492945326278
2023-03-05,evening,12950,11.251274131274132
2023-03-05,morning,15740,12.396823379923761
2023-03-05,overnight,3912,12.211145194274028
2023-03-06,afternoon,31341,11.52771130468077
2023-03-06,evening,20357,10.55548459989193
2023-03-06,morning,23579,10.227872259213708
2023-03-06,overnight,1991,10.372677046710196
2023-03-07,afternoon,28668,10.955350913910982
2023-03-07,evening,16894,9.362613945779566
2023-03-07,morning,23859,9.852927616413094
2023-03-07,overnight,1579,8.931602279924002
2023-03-08,afternoon,30308,10.90820905371519
2023-03-08,evening,20335,10.217310056552742
2023-03-08,morning,23903,9.583859766556499
2023-03-08,overnight,1777,9.251547552054024
2023-03-09,afternoon,32954,11.414365479152758
2023-03-09,evening,21625,10.544508670520232
2023-03-09,morning,25694,9.85420720790846
2023-03-09,overnight,1946,9.622816032887975
2023-03-10,afternoon,30074,10.424486267207556
2023-03-10,evening,8087,10.061209348336837
2023-03-10,morning,22747,9.588824899986811
2023-03-10,overnight,2336,9.252996575342467
2023-03-11,afternoon,28107,11.625395808873234
2023-03-11,evening,14687,11.082317695921564
2023-03-11,morning,8209,9.109148495553661
2023-03-11,overnight,1293,10.181747873163186
2023-03-12,afternoon,31399,14.523105831395904
2023-03-12,evening,13591,11.013611949083952
2023-03-12,morning,11937,12.38870738041384
2023-03-12,overnight,3278,13.13758389261745
2023-03-13,afternoon,13188,10.7147406733394
2023-03-13,evening,7718,10.313941435605079
2023-03-13,morning,12271,8.807758128921849
2023-03-13,overnight,1771,9.983625070581592
2023-03-14,afternoon,14388,8.940227967750904
2023-03-14,evening,13443,8.792531428996504
2023-03-14,morning,13341,9.33438272993029
2023-03-14,overnight,1010,7.898019801980198
2023-03-15,afternoon,26853,10.624734666517707
2023-03-15,evening,20273,9.739752380012824
2023-03-15,morning,21317,9.05629309940423
2023-03-15,overnight,1668,9.263189448441247
2023-03-16,afternoon,35417,12.457859220148515
2023-03-16,evening,27730,12.109267940858276
2023-03-16,morning,23815,9.620323325635104
2023-03-16,overnight,2070,10.412077294685991
2023-03-17,afternoon,37486,12.791628874779917
2023-03-17,evening,25204,13.145532455165847
2023-03-17,morning,22774,10.838017036971985
2023-03-17,overnight,3104,11.929768041237113
2023-03-18,afternoon,40444,15.543640589457027
2023-03-18,evening,18772,13.184689963775837
2023-03-18,morning,16166,11.458060126190771
2023-03-18,overnight,4361,12.89543682641596
2023-03-19,afternoon,24613,11.853167025555601
2023-03-19,evening,11641,10.380809208830856
2023-03-19,morning,12076,10.585293143424975
2023-03-19,overnight,3298,11.506367495451789
2023-03-20,afternoon,30728,11.660732882061962
2023-03-20,evening,21107,10.934666224475292
2023-03-20,morning,19896,9.990199034981906
2023-03-20,overnight,1667,9.692261547690462
2023-03-21,afternoon,38740,14.021476510067114
2023-03-21,evening,27068,12.886138613861386
2023-03-21,morning,25567,11.425705010364924
2023-03-21,overnight,2005,10.001995012468829
2023-03-22,afternoon,37112,12.967234317740893
2023-03-22,evening,26624,11.82147686298077
2023-03-22,morning,26702,10.97112575837016
2023-03-22,overnight,2315,12.838876889848812
2023-03-23,afternoon,26528,11.502186369119421
2023-03-23,evening,26545,11.66095309851196
2023-03-23,morning,24251,10.722526906106964
2023-03-23,overnight,2576,11.654503105590063
2023-03-24,afternoon,35064,12.168919689710243
2023-03-24,evening,23529,12.113604488078542
2023-03-24,morning,21060,9.990930674264007
2023-03-24,overnight,3200,11.341875
2023-03-25,afternoon,10440,9.926628352490422
2023-03-25,evening,10098,11.068627450980392
2023-03-25,morning,10711,9.777331715059285
2023-03-25,overnight,4045,12.357231149567367
2023-03-26,afternoon,51616,18.408361748295103
2023-03-26,evening,21680,14.664206642066421
2023-03-26,morning,16898,13.764765060953959
2023-03-26,overnight,3591,11.822333611807297
2023-03-27,afternoon,27625,11.91710407239819
2023-03-27,evening,9557,12.087161243067909
2023-03-27,morning,25019,10.737399576321994
2023-03-27,overnight,2434,10.98849630238291
2023-03-28,afternoon,32574,11.550070608460736
2023-03-28,evening,26321,11.289274723604727
2023-03-28,morning,23972,11.22413649257467
2023-03-28,overnight,2139,10.0
