start_station_name,start_lat,start_lng
67 St & Erik Pl,40.633385,-74.016562
5 Ave & 66 St,40.635679,-74.020005
7 Ave & 62 St,40.63556,-74.01298
4 Ave & Shore Road Dr,40.636961579,-74.022224545
57 St & 7 Ave,40.638566,-74.010147
63 St & 5 Ave,40.63766,-74.01782
3 Ave & Wakeman Pl,40.638246,-74.024714
6 Ave & 60 St,40.638293028,-74.013754487
62 St & 4 Ave,40.639897585,-74.019822836
Wakeman Pl & Ridge Blvd,40.639421,-74.026823
55 St & 7 Ave,40.639654517,-74.009075642
59 St & 5 Ave,40.640125,-74.015726
64 St & 3 Ave,40.639978,-74.02324
6 Ave & 55 St,40.640723467,-74.011145353
Church Ave & Story St,40.642120004,-73.981065035
59 St & 4 Ave,40.641269,-74.017651
65 St & 2 Ave,40.640468478,-74.025617123
Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961
50 St & 7 Ave,40.642465591,-74.006090522
E 3 St & Church Ave,40.643817,-73.977433
55 St & 5 Ave,40.642408,-74.013318
12 Ave & 36 St,40.643618345,-73.98635602
52 St & 6 Ave,40.642703,-74.009441
Church Ave & McDonald Ave,40.642827511,-73.979177356
57 St & 4 Ave,40.642622,-74.016866
46 St & 7 Ave,40.644788504,-74.003790259
Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481
53 St & 5 Ave,40.643371,-74.011884
Chester Ave & 12 Ave,40.644299984,-73.984175324
58 St & 2 Ave,40.644584537,-74.021358252
46 St & 6 Ave,40.645921,-74.005708
Albemarle Rd & McDonald Ave,40.645072579,-73.979671717
53 St & 4 Ave,40.644923329,-74.014677048
57 St & 1 Ave,40.646311164,-74.022932172
7 Ave & 41 St,40.647379,-74.000911
Caton Ave & E 7 St,40.647735834,-73.97367394
48 St & 5 Ave,40.646351,-74.009271
Dahill Rd & 12 Ave,40.646037,-73.980963
53 St & 2 Ave,40.647485137,-74.018827677
58 St & Pier 4,40.646475,-74.026081
Caton Ave & E 10 St,40.648749709,-73.970407486
44 St & 6 Ave,40.647105,-74.004483
Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673
47 St & 3 Ave,40.649143,-74.012384
52 St & 1 Ave,40.649292,-74.020105
7 Ave & 40 St,40.648270011,-73.99984467
E 8 St & Caton Ave,40.648055,-73.972432
45 St & 4 Ave,40.649145,-74.009486
Ft. Hamilton Pkwy & E 2 St,40.647981286,-73.97944128500001
48 St & 2 Ave,40.650176,-74.015606
Caton Ave & Argyle Rd,40.649756312,-73.967681408
Caton Ave & Argyle Rd,40.65,-73.97
5 Ave & 41 St,40.649960756,-74.005154014
Prospect Ave & Greenwood Ave,40.651745,-73.975988
44 St & 3 Ave,40.651371837,-74.011446595
Park Cir & East Dr,40.651566,-73.972212
41 St & 4 Ave,40.651339054,-74.007148385
Greenwood Ave & E 4 St,40.650739,-73.977739
2 Ave & 44 St,40.65230357303063,-74.01344954967499
Parade Pl & Crooke Ave,40.651847,-73.965248
5 Ave & 37 St,40.652657,-74.002356
Prospect Park SW & Greenwood Ave,40.652563,-73.972573
41 St & 3 Ave,40.652439594,-74.008824468
McDonald Ave & Vanderbilt St,40.651654,-73.981231
36 St & 4 Ave,40.654144,-74.00422
Prospect Ave & Vanderbilt St,40.653368,-73.976291
2 Ave & 43 St,40.652821302,-74.012877703
Bedford Ave & Clarkson Ave,40.655273199,-73.956379056
34 St & 5 Ave,40.654200435,-74.001294613
Prospect Park SW & Vanderbilt St,40.65482,-73.973217
2 Ave & 36 St,40.65708866668485,-74.00870203971863
36 St & 3 Ave,40.655716,-74.006664
2 Av & 37 St,40.656326,-74.009627
2 Ave & 39 St,40.655816793,-74.00995338
Clarkson Ave & Nostrand Ave,40.6555,-73.94975
Parkside Ave & Flatbush Ave,40.65563,-73.95968
Clarkson Ave & Utica Ave,40.65666,-73.93109
34 St & 4 Ave,40.655278,-74.003101
Prospect Park SW & 16 St,40.657265,-73.974165
New York Ave & Hawthorne St,40.657819033,-73.947394013
Prospect Park W & 20 St,40.656633,-73.983864
Winthrop St & Rogers Ave,40.65686,-73.95331
7 Ave & 22 St,40.658029,-73.989605
Flatbush Ave & Fenimore St,40.657794595,-73.960446119
29 St & 5 Ave,40.656986,-73.998194
Winthrop St & Schenectady Ave,40.65808,-73.93415
2 Ave & 32 St,40.659159422,-74.006601334
